algo,mean_reward,mean_reward_std,median_reward,min_reward,max_reward,train_time_mean,train_time_std,mean_episode_length,peak_memory_mb
PPO,2358.935694767242,1450.3780742986598,2385.5660212466078,2094.0688316193823,2479.722737449687,836.7326217492422,21.118861749343804,1000.0,52.334635416666664
SAC,12198.717482986829,511.3046515444513,12272.420631470159,11631.014956622384,12483.387560923895,6991.493125120799,24.576898973354954,1000.0,503.6979166666667
TD3,11014.750876583412,495.1413158339425,11010.901928522313,10788.034464066228,11262.174504993529,4650.6953276793165,164.15777078159843,1000.0,264.2395833333333
